Country;Sub-commodity;Year;Production
USA;Ferro-chrome;1983;18078.0
USA;Ferro-silico-chrome;1983;14942.0
USA;Ferro-silicon;1983;284958.0
United Kingdom;Ferro-manganese;1983;82800.0
Venezuela;Ferro-silicon;1983;46636.0
Yugoslavia;Ferro-nickel;1983;3000.0
Zimbabwe;Ferro-manganese;1983;2085.0
Albania;Ferro-chrome;1984;40000.0
Argentina;Ferro-manganese;1984;28016.0
Argentina;Ferro-silico-manganese;1984;13336.0
Australia;Ferro-silico-manganese;1984;31795.0
Brazil;Ferro-calcium-silicon;1984;17755.0
Brazil;Other ferro-alloys;1984;494.0
Canada;Ferro-manganese;1984;116000.0
China;Ferro-chrome;1984;120000.0
China;Ferro-manganese;1984;490000.0
Dominican Republic;Ferro-nickel;1984;63966.0
Egypt;Ferro-silicon;1984;7500.0
Finland;Other ferro-alloys;1984;52000.0
France;Fe-Ti, Fe-W, Fe-Mo, Fe-V;1984;5476.0
German Democratic Rep;Ferro-silicon;1984;23000.0
German Democratic Rep;Other ferro-alloys;1984;15250.0
German Federal Republic;Other ferro-alloys;1984;54000.0
Italy;Ferro-chrome;1984;49942.0
Japan;Ferro-vanadium;1984;3733.0
Korea (Rep. of);Ferro-manganese;1984;58600.0
Korea (Rep. of);Ferro-silicon;1984;35300.0
Korea (Rep. of);Other ferro-alloys;1984;50215.0
Norway;Ferro-silico-manganese;1984;280953.0
Poland;Silicon metal;1984;10000.0
Portugal;Ferro-tungsten;1984;183.0
Romania;Ferro-manganese;1984;87000.0
Romania;Ferro-silico-manganese;1984;41000.0
Romania;Silicon metal;1984;4100.0
South Africa;Ferro-chrome;1984;889203.0
South Africa;Ferro-silicon;1984;89414.0
South Africa;Other ferro-alloys;1984;300.0
South Africa;Silicon metal;1984;34775.0
Soviet Union;Silicon metal;1984;60000.0
Soviet Union;Spiegeleisen;1984;20000.0
Sweden;Ferro-silico-chrome;1984;30633.0
Austria;Ferro-alloys;1985;13000.0
Bulgaria;Ferro-manganese & ferro-silico-manganese;1985;30000.0
Bulgaria;Ferro-silicon;1985;10000.0
Chile;Ferro-manganese;1985;6516.0
Chile;Ferro-silicon;1985;4501.0
China;Other ferro-alloys;1985;75000.0
Czechoslovakia;Ferro-silico-manganese;1985;31000.0
Czechoslovakia;Ferro-silicon;1985;20765.0
Finland;Ferro-chrome & ferro-silico-chrome;1985;133350.0
German Federal Republic;Other ferro-alloys;1985;56000.0
India;Ferro-manganese;1985;166042.0
India;Ferro-silico-manganese;1985;13544.0
Italy;Ferro-silico-manganese;1985;64858.0
Italy;Silicon metal;1985;17812.0
Japan;Ferro-manganese;1985;441703.0
Norway;Ferro-manganese;1985;267670.0
Philippines;Ferro-silicon;1985;20000.0
Portugal;Ferro-manganese;1985;48000.0
South Africa;Ferro-manganese;1985;331302.0
South Africa;Ferro-silico-manganese;1985;237864.0
Soviet Union;Ferro-silico-chrome;1985;12000.0
Soviet Union;Ferro-silico-manganese;1985;190000.0
Spain;Other ferro-alloys;1985;4000.0
Sweden;Ferro-silico-chrome;1985;26243.0
Taiwan;Ferro-silicon;1985;17272.0
Turkey;Ferro-silicon;1985;6900.0
USA;Ferro-phosphorus;1985;56211.0
Venezuela;Ferro-silico-manganese;1985;24109.0
Venezuela;Ferro-silicon;1985;60583.0
Zimbabwe;Ferro-silico-chrome;1985;29707.0
Belgium;Ferro-manganese;1986;87000.0
